,AcresBurned,ArchiveYear,CalFireIncident,Counties,Extinguished,Location,MajorIncident,Started
522,100.0,2016,True,Shasta,2016-09-25T13:15:00Z,off Whitmore Road and Old Cow Creek Road,False,2016-09-25T07:15:00Z
523,100.0,2016,True,Santa Clara,2016-08-18T19:50:00Z,"Hwy 101 & Bailey Rd, South San Jose",False,2016-08-17T15:19:00Z
524,100.0,2016,True,Kern,2016-08-07T20:15:00Z,"off Hwy 58 and Hart Flat Rd, Tehachapi ",False,2016-08-04T17:10:00Z
525,100.0,2016,True,Stanislaus,2016-08-04T07:45:00Z,"Off Diablo Grande Parkway and Morton Davis Circle, 9 miles SW of Patterson ",False,2016-08-03T16:08:00Z
526,100.0,2016,True,Monterey,2016-07-23T08:45:00Z,"off Highway 101 and San Antonio River, south of Bradley ",False,2016-07-22T15:15:00Z
527,100.0,2016,True,San Diego,2016-07-20T13:45:00Z,"off of El Capitan Truck Trail, south of Ramona ",False,2016-07-18T13:08:00Z
528,95.0,2016,True,San Benito,2016-07-10T19:30:00Z,"off of New Idria Rd & Panoche Rd, south of Mercey Hot Springs ",False,2016-07-09T12:43:00Z
529,91.0,2016,True,Butte,2016-05-27T17:00:00Z,"La Porte Road at Dunstone Road, west of Bangor ",False,2016-05-27T13:43:00Z
530,88.0,2016,True,Butte,2016-08-30T18:40:00Z,"off Hwy 32 at Santos Ranch Rd, south of Forest Ranch",True,2016-08-26T15:30:00Z
531,88.0,2016,True,Tehama,2016-07-01T17:45:00Z,"Interstate 5 & Flores Ave, 5 miles south of Red Bluff",False,2016-07-01T13:54:00Z
532,88.0,2016,True,Placer,2016-06-21T15:45:00Z,"off Moore Rd and South Dowd Rd, west of Lincoln",False,2016-06-21T12:24:00Z
533,87.0,2016,True,Sacramento,2016-07-11T06:35:00Z,"off of Scotts Road and Latrobe Road, Rancho Murrieta",False,2016-07-10T15:30:00Z
534,86.0,2016,True,San Luis Obispo,2016-06-29T17:00:00Z,off Nacimiento Lake Dr. and Frazier Rd.,False,2016-06-27T12:07:00Z
535,85.0,2016,True,Madera,2016-08-06T19:50:00Z,"off of Grub Gulch Road and Acton Grade Road, west of Oakhurst",False,2016-08-04T14:13:00Z
536,85.0,2016,True,Tuolumne,2016-06-01T19:45:00Z,"off New Peoria Flat Road and Old Melones Road, west of Sonora",True,2016-05-30T15:10:00Z
537,84.0,2016,True,Yolo,2016-07-15T15:40:00Z,"off County Road 86 & County Road 6, west of Dunnigan",False,2016-07-15T14:00:00Z
538,83.0,2016,True,Calaveras,2016-06-16T10:00:00Z,"off Cheyenne Way, south of Camanche Reservoir ",True,2016-06-15T12:46:00Z
539,83.0,2016,True,San Benito,2016-06-12T15:45:00Z,"off Old Hernandez Road, five miles east of Pinnacles National Park",False,2016-06-12T12:45:00Z
540,80.0,2016,True,Tehama,2016-08-04T07:50:00Z,"Off Baker Rd & Plymire Rd, 2 miles NW of Red Bluff",False,2016-08-03T17:27:00Z
541,80.0,2016,True,Madera,2016-07-25T19:20:00Z,off Hwy 41 northeast of Coarsegold,True,2016-07-21T12:53:00Z
542,80.0,2016,True,Tehama,2016-06-11T16:15:00Z,"off Corning Road and Gaylord Avenue, east of Corning",False,2016-06-11T14:30:00Z
543,78.0,2016,True,Ventura,2016-07-15T14:00:00Z,"near Lake Sherwood, southwest of Thousand Oaks",False,2016-07-13T15:52:00Z
544,75.0,2016,True,Shasta,2016-09-12T19:00:00Z,"off of Lake Blvd south of Shasta Dam Blvd, Shasta Lake City",False,2016-09-10T15:45:00Z
545,70.0,2016,True,Fresno,2016-09-24T20:00:00Z,"off Newmark Ave. and Fantz Ave., 3 miles southeast of Sanger",False,2016-09-23T12:40:00Z
546,70.0,2016,True,Monterey,2016-06-20T18:15:00Z,"Arroyo Seco Rd &  Elm Ave, E of Greenfield",False,2016-06-18T16:47:00Z
547,70.0,2016,True,San Diego,2016-06-07T06:45:00Z,"in the 38000 block of Pala Temecula Road, Temecula",True,2016-05-31T13:48:00Z
548,69.0,2016,True,Lake,2016-07-22T18:15:00Z,"off Foothill Drive, community of Lucerne",True,2016-07-19T17:16:00Z
549,65.0,2016,True,Napa,2016-10-12T18:00:00Z,Dry Creek Road 3 miles west of Yountville,True,2016-10-10T16:13:00Z
550,61.0,2016,False,Kern,2016-06-12T12:30:00Z,"off Highway 41, one mile east of the county line",False,2016-06-11T15:04:00Z
551,57.0,2016,True,Solano,2016-07-22T16:07:00Z,"off Cherry Glen Rd and Oak Canyon Ln, south of Vacaville ",False,2016-07-22T13:01:00Z
552,57.0,2016,True,Calaveras,2016-07-22T19:00:00Z,off Baker St & School St near Copperopolis ,True,2016-07-21T15:06:00Z
553,56.0,2016,True,Siskiyou,2016-05-21T19:00:00Z,"Old Dump Road/T-3 Road, 2 miles east of Weed",False,2016-05-19T15:37:00Z
554,52.0,2016,True,Monterey,2016-06-24T18:20:00Z,East of King City,False,2016-06-23T17:57:00Z
555,50.0,2016,True,Mendocino,2016-09-15T09:10:00Z,"off of Hwy 101 and Woodruff Rd, north of Laytonville",False,2016-09-10T14:06:00Z
556,50.0,2016,True,San Bernardino,2016-09-09T06:00:00Z,"off of Hwy 138 & Los Flores Rd, south of Hesperia",False,2016-09-07T16:53:00Z
557,50.0,2016,True,El Dorado,2016-07-23T18:00:00Z,off Storksbill Rd in Pilot Hill ,True,2016-07-22T13:15:00Z
558,50.0,2016,False,Ventura,2016-04-30T07:00:00Z,"near Casitas Vista and Ventura Avenue, south of Casitas Springs  ",False,2016-04-28T19:00:00Z
559,49.0,2016,True,Butte,2016-06-21T16:30:00Z,off Highway 70 at Palermo Rd.,False,2016-06-21T15:09:00Z
560,47.0,2016,True,Nevada,2016-09-20T18:00:00Z,"Off South Auburn Street and Whiting Street, Grass Valley",False,2016-09-17T13:40:00Z
561,47.0,2016,True,Orange,2016-06-29T18:30:00Z,"n Laguna Coast Wilderness Park, 2½ miles northeast of Laguna Beach",False,2016-06-26T13:10:00Z
562,45.0,2016,True,Amador,2016-09-25T17:45:00Z,"off Hwy 49 and Bell Road, 4 miles north of Plymouth ",True,2016-09-23T13:12:00Z
563,45.0,2016,True,Lake,2016-08-10T17:00:00Z,"off of Kugelman St and Hwy 53, community of Lower Lake",False,2016-08-09T17:30:00Z
564,45.0,2016,True,Ventura,2016-07-01T19:50:00Z,"off Hwy 118 at Rocky Peak Rd, NE Simi Valley",False,2016-07-01T14:00:00Z
565,43.0,2016,True,Tehama,2016-06-21T13:00:00Z,"off Paskenta Rd & Boggs and Chaplin Rd, 18 miles west of Corning",False,2016-06-21T10:26:00Z
566,43.0,2016,True,Kern,2016-06-04T17:00:00Z,"Jacobs Road, community of Caliente",False,2016-05-30T17:57:00Z
567,42.0,2016,True,Lassen,2016-08-01T19:40:00Z,"off Hwy 36E & County Rd A1, west of Susanville ",True,2016-07-30T16:25:00Z
568,40.0,2016,True,Sacramento,2016-09-12T19:00:00Z,"off of Boys Ranch Road and Scott Road, northwest of Rancho Murieta",False,2016-09-11T11:25:00Z
569,40.0,2016,True,Riverside,2016-08-29T15:00:00Z,off Evergreen Street in Lakeland Village near Lake Elsinore ,False,2016-08-28T15:23:00Z
570,40.0,2016,True,Contra Costa,2016-07-24T19:00:00Z,"Cummings Skyway & Franklin Canyon, 6 miles southeast of Rodeo",False,2016-07-24T16:30:00Z
571,38.0,2016,False,Nevada,1969-12-31T16:00:00Z,west of Fordyce Lake near Soda Springs ,False,2016-09-07T15:09:00Z
572,38.0,2016,True,Madera,2016-07-31T18:55:00Z,"Off Mammoth Pool Rd & Douglas Ranger Station Rd, east of North Fork",False,2016-07-29T17:55:00Z
573,36.0,2016,True,Mendocino,2016-08-31T07:15:00Z,"off Mina Rd & Trinity County Line, 12 miles northeast of Covelo",False,2016-08-30T13:35:00Z
574,36.0,2016,True,Lake,2016-08-10T17:00:00Z,"Berryessa Knoxville Rd & East Side Rd, north of Lake Berryessa",False,2016-08-09T18:50:00Z
575,35.0,2016,True,San Diego,2016-08-11T18:30:00Z,"I-15 & Lawrence Welk Drive, Gopher Canyon",False,2016-08-10T09:14:00Z
576,35.0,2016,True,Shasta,2016-08-10T17:00:00Z,"Near Iron Mountain Road, south of Keswick ",False,2016-08-09T12:14:00Z
577,35.0,2016,True,Butte,2016-07-29T15:10:00Z,"Off Neal Rd east of Hwy 99e, south of Chico",False,2016-07-28T14:27:00Z
578,35.0,2016,True,Calaveras,2016-07-13T19:00:00Z,"off Stagecoach Rd and Hwy 4, south of Copperopolis",False,2016-07-12T15:19:00Z
579,33.0,2016,True,Calaveras,2016-06-30T07:00:00Z,"off Campo Seco and Chili Camp Road, near Burson ",False,2016-06-27T18:00:00Z
580,32.0,2016,True,Siskiyou,2016-09-13T18:30:00Z,"off of Moffett Creek Rd and Luce Gulch Rd, northeast of Fort Jones",False,2016-09-12T16:28:00Z
581,32.0,2016,True,Tuolumne,2016-08-01T08:05:00Z,"Off Frymire Rd & Morrison Rd, east of Oakdale",False,2016-07-30T17:25:00Z
582,32.0,2016,True,Sacramento,2016-06-03T19:55:00Z,off Highway 104 and Clay East Road near Herald,False,2016-06-03T16:57:00Z
583,30.0,2016,True,Butte,2016-09-19T18:30:00Z,"Off of Old Chico Canyon, west of Forest Ranch",False,2016-09-16T23:28:00Z
584,30.0,2016,True,Inyo,2016-07-02T20:00:00Z,"Whitney Portal Rd. and OlivasRanch Rd., 3 miles West of Lone Pine",False,2016-07-01T12:56:00Z
585,30.0,2016,True,San Benito,2016-06-03T17:30:00Z,"off Hidden Valley Rd & Cienega Rd, southwest of Hollister ",False,2016-06-03T17:39:00Z
586,30.0,2016,True,Butte,2016-05-29T19:53:00Z,Hwy 70 between Clark Rd and Wheelock Rd,True,2016-05-29T16:51:00Z
587,30.0,2016,True,Merced,2016-04-24T15:30:00Z,"I-5 & Taglio Road, east of Gustine",False,2016-04-24T11:10:00Z
588,28.0,2016,True,San Diego,2016-11-14T18:00:00Z,Off Gopher Canyon & Interstate 15,False,2016-11-13T11:14:00Z
589,28.0,2016,True,San Diego,2016-07-24T14:30:00Z,"off Highway 67 & Rockhouse Road, near Ramona",True,2016-07-22T14:47:00Z
590,26.0,2016,True,Amador,2016-08-06T10:06:00Z,"off of Deer Ridge Lane and Buena Vista Road, north of Valley Springs ",True,2016-08-05T13:49:00Z
